-5	-4	96.1
-5	-3	179.6
-5	-2	166.1
-5	-1	156.6
-4	-5	101
-4	-4	176.5
-4	-3	153.7
-4	-2	19
-4	-1	174.5
-4	0	177.2
-4	1	157.5
-3	-5	57.9
-3	-4	159.8
-3	-3	146.9
-3	-2	168.3
-3	-1	177.7
-3	0	6.3
-3	1	5
-3	2	26.4
-3	3	46.4
-3	4	50.9
-3	5	88.7
-3	6	49.4
-2	-5	88
-2	-4	129.7
-2	-3	19
-2	-2	6.8
-2	-1	3.6
-2	0	1.8
-2	1	15
-2	2	18.5
-2	3	28.1
-2	4	43.2
-2	5	50.3
-2	6	15.7
-2	7	164.6
-1	-5	32.2
-1	-4	44.9
-1	-3	25.8
-1	-2	9.8
-1	-1	178
-1	0	10.3
-1	1	18.1
-1	2	25.6
-1	3	31.6
-1	4	26.3
-1	5	55.2
-1	6	34
-1	7	37.6
0	-6	160.4
0	-5	42.8
0	-4	34.5
0	-3	28.3
0	-2	22.5
0	-1	26.3
0	0	23.8
0	1	24.1
0	2	24.9
0	3	35
0	4	43.3
0	5	29.5
0	6	35.1
0	7	43.7
1	-6	39.7
1	-5	30.1
1	-4	25.6
1	-3	24.4
1	-2	25.1
1	-1	23.7
1	0	21.4
1	1	6
1	2	177.3
1	3	9.8
1	4	61.7
1	5	49.5
1	6	29.2
1	7	63.9
2	-6	10.4
2	-5	16.6
2	-4	25.9
2	-3	20
2	-2	19.2
2	-1	20.7
2	0	13
2	1	6.1
2	2	171.1
2	3	152
2	4	179.6
2	5	14
2	6	153.1
2	7	72.3
3	-6	7.7
3	-5	30.1
3	-4	14.8
3	-3	12.8
3	-2	25.7
3	-1	14.6
3	0	8.3
3	1	6
3	2	174.5
3	3	154.3
3	4	147.6
3	5	0.1
3	6	166.5
4	-6	40.5
4	-5	2.2
4	-4	24.4
4	-3	16.8
4	-2	21.9
4	-1	13.3
4	0	8.5
4	1	0.3
4	2	174.5
4	3	173.9
4	4	155.4
4	5	161.9
5	-5	13.9
5	-4	28.7
5	-3	39.5
5	-2	28.3
5	-1	179.3
5	0	170.9
5	1	2.6
5	2	157.2
5	3	145.3
5	4	150.6
5	5	147.7
6	0	19.4
6	1	11.9
6	2	154.6
6	3	166.9
6	4	8.2
